Year,Month,Day,temperature,humidity,precipitation
2024,12,31,4.95,91,1.4
2024,12,30,4.25,99,10.7
2024,12,29,5.09,96.5,8.1
2024,12,28,8.55,87.5,7.1
2024,12,27,6.75,90.5,5
2024,12,26,6.2,95.5,29.3
2024,12,25,6.5,88,15.4
2024,12,24,8.5,81.5,5.7
2024,12,23,9.05,78,0
2024,12,22,7.8,91,6.2
2024,12,21,7.15,90,5.8
2024,12,20,9.55,93.5,2.3
2024,12,19,7.7,94.5,7.8
2024,12,18,8.5,87.5,27.8
2024,12,17,5.8,97,22.7
2024,12,16,4.25,86.5,4.2
2024,12,15,5.5,81.5,0
2024,12,14,7.4,82,2.7
2024,12,13,6.25,92.5,11
2024,12,12,3.15,92.5,0.8
2024,12,11,4.8,86,0
2024,12,10,2.04,91,0
2024,12,9,4.59,91.5,0
2024,12,8,6.15,91,1.1
2024,12,7,8.75,88.5,12.6
2024,12,6,7.6,85.5,6.3
2024,12,5,3.7,94.5,0
2024,12,4,1.54,100,0
2024,12,3,2.59,95.5,0
2024,12,2,2.45,92.5,0
2024,12,1,3.95,93.5,0
2024,11,30,5.65,92,0.2
2024,11,29,3.1,93.5,0
2024,11,28,3.45,88,0
2024,11,27,4.15,92,0.9
2024,11,26,3.05,85.5,0
2024,11,25,5.09,86,0
2024,11,24,6.95,86,3
2024,11,23,8.75,89,2.6
2024,11,22,8.8,83,5.1
2024,11,21,8.1,85.5,0.5
2024,11,20,8.1,81,11.5
2024,11,19,4.55,77.5,18.1
2024,11,18,4.94,82,3.5
2024,11,17,6.7,87,10.8
2024,11,16,4.34,94,26.1
2024,11,15,5.8,90,0
2024,11,14,8.3,91.5,6.5
2024,11,13,9.8,96,16.4
2024,11,12,8.19,92,7.9
2024,11,11,10.3,86,16.9
2024,11,10,10.8,86,4.6
2024,11,9,9.85,100,17.4
2024,11,8,10.89,83.5,10
2024,11,7,9.19,89,0
2024,11,6,8.44,80,0
2024,11,5,7.4,85.5,0
2024,11,4,9.94,82.5,20
2024,11,3,7.9,94,1.6
2024,11,2,7.65,94.5,5
2024,11,1,7.65,94.5,19.2
2024,10,31,9.19,81.5,5.5
2024,10,30,8.89,82,17.5
2024,10,29,7.65,88,0
2024,10,28,10.25,89,1.6
2024,10,27,11.55,91.5,5.6
2024,10,26,12.1,88,11.8
2024,10,25,6.4,84.5,0
2024,10,24,7.8,81.5,0
2024,10,23,7.25,89.5,0
2024,10,22,9.44,90.5,1.2
2024,10,21,9.85,90.5,0
2024,10,20,11.7,93.5,28.8
2024,10,19,11.75,100,67.1
2024,10,18,8.75,91,34.2
2024,10,17,9,86,0
2024,10,16,11.1,76.5,6.6
2024,10,15,11.2,95.5,0
2024,10,14,14.25,95.5,10.4
2024,10,13,14.05,78.5,0
2024,10,12,11.3,86,0
2024,10,11,9.3,84.5,0
2024,10,10,9.69,87.5,0
2024,10,9,12.25,83,4.1
2024,10,8,14.05,92,0.6
2024,10,7,14,78.5,0
2024,10,6,13.55,87,0
2024,10,5,12.5,86.5,0
2024,10,4,13.3,84.5,11.7
2024,10,3,8.9,87,0
2024,10,2,12.35,74.5,0
2024,10,1,10.65,87,0.7
2024,9,30,10.14,82.5,0
2024,9,29,12.2,78,0
2024,9,28,11.05,92,0
2024,9,27,13.5,75.5,0
2024,9,26,11.55,89.5,2.9
2024,9,25,15.1,92,29.8
2024,9,24,15.75,94.5,0
2024,9,23,16.64,93,3.5
2024,9,22,14.89,85.5,0
2024,9,21,13.35,84,0
2024,9,20,14.65,75,0
2024,9,19,13.6,88.5,0
2024,9,18,15.65,86.5,0
2024,9,17,13.89,87.5,0
2024,9,16,13.95,89,0
2024,9,15,14.7,87.5,0
2024,9,14,16,86.5,5.6
2024,9,13,14.25,86.5,11.9
2024,9,12,14.9,84,0
2024,9,11,15.55,86,0.4
2024,9,10,16.1,81.5,0
2024,9,9,16.7,87,0
2024,9,8,18.64,88,0
2024,9,7,18.85,89.5,0
2024,9,6,18.5,86,0
2024,9,5,18.89,82.5,0
2024,9,4,16.85,86.5,0
2024,9,3,16.85,91.5,0
2024,9,2,17.89,87.5,0
2024,9,1,18.45,83.5,0
2024,8,31,17.25,87.5,0
2024,8,30,15.95,87,0
2024,8,29,15.05,87.5,0
2024,8,28,13.2,83.5,0
2024,8,27,15.55,80.5,0
2024,8,26,16.75,90.5,12.7
2024,8,25,17.35,81.5,0.4
2024,8,24,16.39,85,26.7
2024,8,23,15.1,96,6.2
2024,8,22,16.39,89.5,1.4
2024,8,21,16.89,85.5,0
2024,8,20,18.64,81,0.5
2024,8,19,18.35,79.5,1.5
2024,8,18,19.8,80,9.7
2024,8,17,18.45,84.5,0
2024,8,16,18.45,72.5,0
2024,8,15,18.85,78,0
2024,8,14,18.3,78.5,0
2024,8,13,18.7,75.5,0
2024,8,12,17.5,80,0
2024,8,11,18.8,82,0.3
2024,8,10,20.39,76,0
2024,8,9,21.35,80.5,0
2024,8,8,19.45,85.5,0
2024,8,7,18.55,85,0
2024,8,6,18.45,78,0
2024,8,5,20.54,70,0
2024,8,4,20.6,74,0
2024,8,3,18.95,72.5,0
2024,8,2,21.35,76,0
2024,8,1,19.25,86.5,0
2024,7,31,19.25,89,0.8
2024,7,30,18.39,90,0
2024,7,29,16.6,90.5,19
2024,7,28,17.64,75.5,0
2024,7,27,17.5,81,0
2024,7,26,16.64,72,0
2024,7,25,18.6,70,0
2024,7,24,18.14,70.5,0
2024,7,23,17.45,69,0
2024,7,22,17.95,76.5,0
2024,7,21,19.05,85,0
2024,7,20,20.5,72.5,0
2024,7,19,21.15,63.5,0
2024,7,18,21.35,67.5,0
2024,7,17,21.95,75,0
2024,7,16,19.45,77.5,0
2024,7,15,18.8,81.5,0
2024,7,14,20.45,74,0
2024,7,13,20.1,76,0
2024,7,12,18.5,82.5,0
2024,7,11,18.79,76,0
2024,7,10,19.7,72,0
2024,7,9,21.95,71.5,0
2024,7,8,20.6,75,0
2024,7,7,20.35,72,0
2024,7,6,19.5,79.5,0
2024,7,5,18.45,73.5,0
2024,7,4,16.75,82.5,0
2024,7,3,15.55,79.5,0
2024,7,2,16.39,78,0
2024,7,1,17.25,76,0
2024,6,30,19.14,79,0
2024,6,29,17.5,77,0.2
2024,6,28,15,80.5,5.8
2024,6,27,14.14,91,5.6
2024,6,26,16.6,90,2.7
2024,6,25,16.55,81,0
2024,6,24,15.6,70.5,0
2024,6,23,16.1,69.5,0
2024,6,22,18.14,61.5,0
2024,6,21,18,61,0
2024,6,20,16.7,80.5,0
2024,6,19,15.1,81,0
2024,6,18,14.95,69.5,0
2024,6,17,13.8,83,0.8
2024,6,16,11.95,79,5.8
2024,6,15,13.1,71.5,0
2024,6,14,13.45,74,0.9
2024,6,13,13.8,64,0
2024,6,12,13.7,75,1.2
2024,6,11,15.55,72.5,2
2024,6,10,15.1,76,0
2024,6,9,17.3,67,0
2024,6,8,16.45,73.5,0
2024,6,7,14.1,79,0
2024,6,6,13.05,78,0
2024,6,5,12.95,68,0
2024,6,4,13.55,76.5,5.6
2024,6,3,13.65,79,10.5
2024,6,2,12.5,92.5,19
2024,6,1,14.7,84.5,4
2024,5,31,12.1,71,0
2024,5,30,12.5,75,0
2024,5,29,10.5,79,1
2024,5,28,13.35,78,9.2
2024,5,27,13.65,80,0
2024,5,26,10.8,90,10.4
2024,5,25,12.2,79,1.8
2024,5,24,11.75,89,3.8
2024,5,23,12.8,74,0
2024,5,22,11.55,76,0
2024,5,21,10.3,86.5,20.2
2024,5,20,12.2,73.5,0
2024,5,19,11.85,73,0
2024,5,18,10.95,79,2.6
2024,5,17,12.45,62,0
2024,5,16,15.4,74.5,0
2024,5,15,15.2,76.5,0
2024,5,14,13.1,80.5,0
2024,5,13,14.7,78.5,0
2024,5,12,15.4,69.5,0
2024,5,11,15.1,80,0
2024,5,10,14.45,76.5,0
2024,5,9,11.9,78,0
2024,5,8,10.95,72,0
2024,5,7,13.2,59.5,0
2024,5,6,11.55,74.5,0.2
2024,5,5,11.39,87,4.7
2024,5,4,13.35,71.5,0
2024,5,3,13.45,65,0
2024,5,2,9.69,78.5,0
2024,5,1,9.25,72,0
2024,4,30,8.89,76.5,0.2
2024,4,29,8.1,72,0
2024,4,28,10.35,78.5,0.5
2024,4,27,9.94,90.5,6.8
2024,4,26,11.64,89,6.6
2024,4,25,9.35,93,21.7
2024,4,24,10.45,82,3.3
2024,4,23,10.85,66,0
2024,4,22,8.65,72,0
2024,4,21,9.65,66,0
2024,4,20,12.35,58,1.4
2024,4,19,9.1,53,0
2024,4,18,8.3,60,0
2024,4,17,6.3,71,0
2024,4,16,8.55,65,0
2024,4,15,8.85,68.5,0.4
2024,4,14,8.64,85,0
2024,4,13,9.75,85.5,0
2024,4,12,9.15,84.5,0.2
2024,4,11,8.69,80.5,5
2024,4,10,8.3,71,0
2024,4,9,9.25,75,0
2024,4,8,7.75,88.5,8.8
2024,4,7,8.75,80.5,0.2
2024,4,6,7.5,74.5,0.8
2024,4,5,8.35,64.5,0
2024,4,4,6.9,71.5,0
2024,4,3,7.15,63,0
2024,4,2,10.1,83.5,3.8
2024,4,1,10.75,76,0
2024,3,31,6.95,84,0
2024,3,30,6.1,86,0
2024,3,29,8.85,82,2.2
2024,3,28,8.05,80.5,2
2024,3,27,8,87.5,27.2
2024,3,26,10.05,78.5,10.8
2024,3,25,9.44,80,0.4
2024,3,24,7.2,79,0
2024,3,23,8.4,99.5,9
2024,3,22,9.15,86.5,4.1
2024,3,21,10,81.5,0
2024,3,20,8.25,82.5,1.2
2024,3,19,7.95,88.5,0
2024,3,18,7.65,90.5,0
2024,3,17,9.85,78.5,0
2024,3,16,8.75,78.5,0
2024,3,15,6.45,88,0
2024,3,14,5.09,84.5,0
2024,3,13,6.69,78,0
2024,3,12,8.25,79.5,2.4
2024,3,11,5.15,89.5,12.3
2024,3,10,8.4,77,0.4
2024,3,9,7.85,82,0.5
2024,3,8,5.35,85,1.6
2024,3,7,2.54,70,0
2024,3,6,2.2,77,0
2024,3,5,0.85,80.5,0
2024,3,4,2.95,82,0.2
2024,3,3,2.4,90.5,21.7
2024,3,2,4.4,77,2
2024,3,1,4.4,82.5,2.6
2024,2,29,5.25,78.5,4.5
2024,2,28,5.25,94.5,17.1
2024,2,27,0.95,80.5,3.6
2024,2,26,4.15,66,0
2024,2,25,6.25,83.5,5.6
2024,2,24,7.65,91,0.5
2024,2,23,6.05,92.5,0
2024,2,22,8.55,88,5.3
2024,2,21,8.55,91.5,9.1
2024,2,20,7.15,93.5,3.6
2024,2,19,5.7,79.5,3.4
2024,2,18,5.85,75.5,0
2024,2,17,4.69,58,0
2024,2,16,3.25,51,0
2024,2,15,3.55,43.5,0
2024,2,14,2.8,58,0
2024,2,13,4.4,78.5,0
2024,2,12,6,92.5,7.4
2024,2,11,6.15,98,21.9
2024,2,10,5.15,79.5,1.9
2024,2,9,3.25,82,0
2024,2,8,5.6,80.5,0
2024,2,7,5.15,86,0.8
2024,2,6,5.15,88,0
2024,2,5,3.2,93,0
2024,2,4,4.5,91.5,0
2024,2,3,6.3,94.5,0.2
2024,2,2,9.25,83,0.3
2024,2,1,11.05,87,1.5
2024,1,31,11.2,91.5,8.9
2024,1,30,11.5,86.5,1.8
2024,1,29,11.25,93.5,4.6
2024,1,28,11.1,95.5,16.1
2024,1,27,9.8,99.5,39.7
2024,1,26,9.85,86,11.9
2024,1,25,7.6,93,4.9
2024,1,24,7.05,91,13.3
2024,1,23,8.19,91.5,13.5
2024,1,22,6.25,99,14.4
2024,1,21,4.55,97,12.4
2024,1,20,2.6,100,0
2024,1,19,0.9,98.5,14.7
2024,1,18,-1.79,83.5,6
2024,1,17,-0.74,90,24.6
2024,1,16,-2.4,78.5,0
2024,1,15,-3.99,71.5,0
2024,1,14,-5.55,62,0
2024,1,13,-8.44,58.5,0
2024,1,12,-9.9,42.5,0
2024,1,11,-0.95,64.5,2
2024,1,10,4.15,84,0
2024,1,9,5.75,86.5,6
2024,1,8,2.15,94,32.6
2024,1,7,1.65,89.5,0
2024,1,6,3.55,86.5,6.3
2024,1,5,5.55,92,5
2024,1,4,6.94,93.5,10.3
2024,1,3,7.69,93,0.7
2024,1,2,5.8,92,9.8
2024,1,1,3.6,96,0
2023,12,31,7.25,90,0
2023,12,30,10.8,84.5,6.4
2023,12,29,9.94,85,1.4
2023,12,28,10.64,85.5,4.3
2023,12,27,9.19,77.5,1.1
2023,12,26,7.95,83,2.8
2023,12,25,7.8,88.5,7.6
2023,12,24,3,72,0
2023,12,23,3.3,90,0
2023,12,22,7.35,86.5,3.8
2023,12,21,9.19,98,5.7
2023,12,20,9.3,98,4.4
2023,12,19,8.94,95.5,11
2023,12,18,6.5,96.5,2.7
2023,12,17,5.35,93,0
2023,12,16,7,88.5,0
2023,12,15,8.3,94,5.2
2023,12,14,6.45,94,3.6
2023,12,13,5.09,77.5,0
2023,12,12,4.55,90.5,0
2023,12,11,5.95,94.5,0
2023,12,10,6.15,99,12.9
2023,12,9,2.75,90,14.8
2023,12,8,3.45,89.5,0
2023,12,7,5.5,92.5,5.7
2023,12,6,8.25,98.5,2.2
2023,12,5,10.4,94.5,7.7
2023,12,4,7.9,95.5,49.8
2023,12,3,6.95,92.5,6
2023,12,2,6.5,87.5,12.9
2023,12,1,4.45,93,13.1
2023,11,30,1.69,89.5,5
2023,11,29,0.95,92.5,0
2023,11,28,1.8,94,0
2023,11,27,4.3,92.5,0
2023,11,26,1.79,96.5,0
2023,11,25,3.09,86,0
2023,11,24,2.54,84.5,0
2023,11,23,3.7,91,0
2023,11,22,5.55,90.5,0.4
2023,11,21,4.39,85,9.8
2023,11,20,6.5,86.5,0
2023,11,19,7.35,87,7.7
2023,11,18,5.65,87,0.3
2023,11,17,4.09,84.5,0
2023,11,16,3.09,84.5,0
2023,11,15,5.35,89.5,0.6
2023,11,14,4.75,85.5,0
2023,11,13,6.55,89.5,0.3
2023,11,12,7.3,85,5.7
2023,11,11,8.85,87,20.3
2023,11,10,6.6,93.5,8.5
2023,11,9,6.8,87.5,2.2
2023,11,8,7.3,91.5,4.8
2023,11,7,8.65,82,2
2023,11,6,10.1,95,6.1
2023,11,5,11.89,84.5,2.8
2023,11,4,14.2,84,14.2
2023,11,3,11.2,87.5,0.6
2023,11,2,12.45,87,15.5
2023,11,1,6.75,81,5.2
2023,10,31,5.45,84.5,0
2023,10,30,4.2,84,0
2023,10,29,4.09,83.5,0
2023,10,28,3.05,78,0
2023,10,27,3.64,58.5,0
2023,10,26,4.75,77.5,0
2023,10,25,7.3,73.5,2.1
2023,10,24,7.69,80.5,15
2023,10,23,8.19,79,0
2023,10,22,8.85,93,1
2023,10,21,11.55,96,0
2023,10,20,12.05,94.5,0
2023,10,19,13.75,98,0.2
2023,10,18,12.25,96.5,33.9
